"user_1","user_2","location_score"
2591,3416,0.04782641882816257
502,2616,0.2
771,3079,0.19911505027771537
1244,2211,0.2
1244,2692,0.0047715195489892726
1244,3747,0.2
750,2616,0.1999999999999999
815,2175,0.2
815,1080,0.2
815,1451,0.11250559707204805
815,2136,0.19330413770920984
815,3523,0.2
815,2878,0.2
815,3205,0.2
815,2457,0.2
815,2692,0.0014216208606105925
815,3709,0.2
815,3695,0.2
815,3739,0.1914048431541365
803,970,0.015726116442686514
803,2616,0.19999999999999987
803,3055,0.027281345100650636
1163,2175,0.1992525439819775
1163,1451,0.17652362571920696
1163,1325,0.18680486189736145
1163,3577,0.03730956769609351
1163,1330,0.1110110877119806
1163,2136,0.08216816194627813
1163,3384,0.005622375598631163
1163,3146,0.023235558353048004
1163,2878,0.11640832342260816
1163,3066,0.06411251657868539
1163,2457,0.18219148719083608
1163,2692,0.00846391800984757
1163,3661,0.14868631128710455
1163,3739,0.16666667
1163,3311,0.031888351395183465
781,970,0.08300667423125346
781,1526,0.0451934101830142
781,2616,0.19999999999999987
781,3055,0.07726960532111794
1027,1080,0.19456396420172106
1027,1526,0.11314060632106078
1027,1232,0.1999999999999999
1027,1325,0.19999999999999996
1027,1330,0.18053003965504522
1027,2211,0.2
1027,3523,0.1830759254069377
1027,3369,0.16377347164214467
1027,3514,0.1244050288955227
1027,3038,0.2000000000000001
1027,2878,0.15394468911657386
1027,3434,0.19999999999999996
1027,2710,0.2
1027,2950,0.016798351682578275
1027,3055,0.15303623790164184
1027,3294,0.18973965922448766
1027,2491,0.2
1027,3014,0.10292245366130111
1027,3341,0.05411631531435849
1027,3661,0.2
970,1244,0.19999999999999996
970,1163,0.11913897884911531
970,1027,0.163485246679784
970,1021,0.11895585815075987
970,2496,0.1870431782501071
970,1245,0.036123754862010936
970,2548,0.044805017899535796
970,1020,0.19029824103081416
970,1084,0.2
970,1219,0.0001164759545527
970,2175,0.2000000000000001
970,2175,0.2000000000000001
970,1065,0.19999999999999996
970,1080,0.19988302538619654
970,1080,0.19988302538619654
970,1257,0.1868191787652107
970,1526,0.11646238937053209
970,1526,0.116462389370532
970,1046,0.19999713033143066
970,1086,0.14776017053061122
970,1224,0.2000000000000001
970,1232,0.1999999999999999
970,1232,0.1999999999999999
970,1448,0.19999999999999998
970,1328,0.19999999999999996
970,1339,0.08596162003904662
970,1465,0.19999999999999998
970,1332,0.19999999999999996
970,1409,0.20000000000000018
970,1450,0.20000000000000007
970,1451,0.2
970,1325,0.19999999999999996
970,1325,0.19999999999999996
970,1138,0.2
970,1334,0.19999999999999996
970,1330,0.1560122940909812
970,1353,0.005251219683909482
970,1435,0.06357371170286323
970,1474,0.1964252161889146
970,1803,0.034267789454939544
970,2211,0.2
970,2211,0.2
970,1473,0.19999999999999996
970,1972,0.19899019367404475
970,2126,0.19999999999999996
970,2087,0.2
970,1479,0.19999999999999996
970,1670,0.18831824658098517
970,1962,0.19999999999999996
970,1800,0.19534950756848712
970,1898,0.2
970,1365,0.19899019367404475
970,2216,0.19999999999999996
970,2136,0.19998631955470172
970,2136,0.19998631955470175
970,3591,0.16666666999999996
970,3591,0.19999999999999996
970,2572,0.19544326155139047
970,2877,0.2
970,2877,0.2
970,3523,0.12403764922130521
970,3523,0.14884517608866277
970,1053,0.1912637504368094
970,3514,0.11322916134035887
970,3038,0.2000000000000001
970,1935,0.19999999999999996
970,3146,0.19536790655024833
970,3146,0.19536790655024838
970,2878,0.2000000000000001
970,2878,0.2000000000000001
970,2969,0.19999999999999996
970,2969,0.19999999999999996
970,2710,0.2
970,2342,0.19999999999999996
970,2373,0.0045288327800490314
970,3653,0.16384615949667786
970,3653,0.19661538746370572
970,3055,0.17917826867957612
970,3055,0.1791782686795761
970,2997,0.014592179260981848
970,3140,0.16911112590595356
970,3294,0.2
970,3296,0.16666667
970,3296,0.2
970,2457,0.20000000000000007
970,2491,0.14217653407033892
970,2455,0.2
970,2493,0.00240186715937232
970,2467,0.2
970,2692,0.156192580348999
970,2692,0.15619258034899886
970,3014,0.14244307235007833
970,3014,0.14244307235007822
970,3341,0.030576222497287114
970,3661,0.2
970,3665,0.04063276574623728
970,3665,0.048759317920298376
970,3676,0.20000000000000015
970,3650,0.19445050033549205
970,3709,0.19999999999999996
970,3695,0.1556826520846619
970,3695,0.18681917876521076
970,3705,0.19999999999999998
970,3705,0.16666666999999996
970,3773,0.02411024483967411
970,3773,0.028932293228963086
970,3747,0.2
970,3311,0.019899042924430718
970,3311,0.023878851031739843
1021,2211,0.19460930347612035
1050,3629,0.1906989894202397
1050,3591,0.01571070778495506
1050,3523,0.17151224906877835
1050,3146,0.0026450960066311717
1050,3773,0.09766629218242194
