"id","profile_id_1","profile_id_2","created_at","location_score"
15479,2067,1585,2025-02-21 06:08:38.250 +0000,0.2000000000000001
15502,3283,1855,2025-02-21 08:12:28.538 +0000,0.2
15622,1506,791,2025-02-21 17:00:09.057 +0000,0.20000000000000007
15478,2067,1075,2025-02-21 06:08:21.306 +0000,0.2000000000000001
15501,3283,2134,2025-02-21 08:11:41.915 +0000,0.03972297908718242
15613,1506,970,2025-02-21 16:59:11.689 +0000,0.14034499051767532
15472,2067,1906,2025-02-21 06:07:12.502 +0000,0.2
15586,3296,1234,2025-02-21 13:52:24.549 +0000,0.2
15574,2067,2566,2025-02-21 13:29:09.073 +0000,0.19849531995664593
15628,1330,816,2025-02-21 17:25:55.924 +0000,0.1560122940909812
15704,3369,50,2025-02-21 23:49:37.623 +0000,0.1324433454693932
15583,3296,1530,2025-02-21 13:52:05.078 +0000,0.1999602558764514
15663,3006,1077,2025-02-21 19:25:58.413 +0000,0.1300810091423583
15476,2067,1027,2025-02-21 06:07:59.583 +0000,0.19780376449801018
15645,1526,228,2025-02-21 17:48:35.178 +0000,0.18315617687389157
15645,1526,228,2025-02-21 17:48:35.178 +0000,0.18315617687389157
15564,2067,2654,2025-02-21 13:28:25.791 +0000,0.19999999999999996
15475,2067,970,2025-02-21 06:07:24.749 +0000,0.18681917876521076
15654,3315,1590,2025-02-21 17:51:26.315 +0000,0.0005196999109185
15523,3315,1027,2025-02-21 09:32:16.398 +0000,0.1996372105629649
15497,3283,2430,2025-02-21 08:11:12.871 +0000,0.2
15489,2067,1590,2025-02-21 06:09:23.393 +0000,0.2
15530,3315,1585,2025-02-21 10:46:05.811 +0000,0.0988649990773898
15531,3315,2211,2025-02-21 10:47:30.652 +0000,0.2
15656,3006,713,2025-02-21 18:33:40.999 +0000,0.19999999999999996
15693,3361,1027,2025-02-21 22:28:11.800 +0000,0.2
15620,1506,1923,2025-02-21 17:00:01.698 +0000,0.10848656331360243
15563,2067,1042,2025-02-21 13:28:24.335 +0000,0.20000000000000007
15633,3315,970,2025-02-21 17:41:54.522 +0000,0.20000000000000007
15743,3387,1585,2025-02-22 04:35:01.067 +0000,0.2000000000000001
15848,3424,2564,2025-02-22 15:59:40.444 +0000,0.17330846503585087
15848,3424,2564,2025-02-22 15:59:40.444 +0000,0.17330846503585087
15643,3315,1042,2025-02-21 17:48:22.625 +0000,0.05566720368721331
15677,3350,2551,2025-02-21 19:49:11.578 +0000,0.12840733805552962
15742,3387,1075,2025-02-22 04:34:58.822 +0000,0.2000000000000001
15650,1526,433,2025-02-21 17:50:29.210 +0000,0.19647312288043978
15682,2399,3284,2025-02-21 21:17:24.815 +0000,0.1666666700000001
15682,2399,3284,2025-02-21 21:17:24.815 +0000,0.1666666700000001
15885,2491,970,2025-02-22 19:51:00.343 +0000,0.14217653407033892
15885,2491,970,2025-02-22 19:51:00.343 +0000,0.14217653407033892
15729,3379,2521,2025-02-22 01:07:38.814 +0000,0.18481208169531124
15765,3387,2175,2025-02-22 04:38:35.957 +0000,0.2000000000000001
15748,3387,2654,2025-02-22 04:37:02.241 +0000,0.19999999999999996
15737,3387,1260,2025-02-22 04:33:30.430 +0000,0.19999999999999998
15884,2491,1180,2025-02-22 19:50:57.602 +0000,0.2
15937,2867,1027,2025-02-22 23:52:36.939 +0000,0.16377347164214467
15744,3387,135,2025-02-22 04:35:04.596 +0000,0.0000540559192695
15849,3424,2723,2025-02-22 15:59:52.774 +0000,0.18766238508404734
15849,3424,2723,2025-02-22 15:59:52.774 +0000,0.18766238508404734
15951,3488,484,2025-02-23 09:09:32.063 +0000,0.0016551413638355664
15787,3283,3350,2025-02-22 09:23:59.106 +0000,0.002370556372762839
16059,3525,1876,2025-02-23 20:19:20.032 +0000,0.1999602558764514
16110,2360,2425,2025-02-24 00:51:44.381 +0000,0.19999999999999996
16178,3552,453,2025-02-24 13:05:08.740 +0000,0.2
16304,2621,2175,2025-02-24 23:23:50.259 +0000,0.2000000000000001
16304,2621,2175,2025-02-24 23:23:50.259 +0000,0.2000000000000001
16407,2621,1169,2025-02-25 13:14:58.373 +0000,0.20000000000000007
15940,2793,2375,2025-02-23 00:42:06.661 +0000,0.2
15996,3502,1022,2025-02-23 13:52:21.988 +0000,0.17596068149733446
16034,3493,1079,2025-02-23 19:14:25.700 +0000,0.19915982696168252
16143,2710,3421,2025-02-24 13:02:26.065 +0000,0.16666667
16145,3552,2359,2025-02-24 13:02:31.213 +0000,0.19999999999999996
16158,3552,2175,2025-02-24 13:03:16.019 +0000,0.2000000000000001
16163,3552,1923,2025-02-24 13:04:15.548 +0000,0.19999999999999996
16384,3589,1032,2025-02-25 11:33:03.585 +0000,0.2
16384,3589,1032,2025-02-25 11:33:03.585 +0000,0.2
15905,3458,3392,2025-02-22 21:07:13.836 +0000,0.10046208450849398
16031,3493,2571,2025-02-23 19:13:15.700 +0000,0.2
16041,3523,1785,2025-02-23 19:51:04.935 +0000,0.13970665292594345
16041,3523,1785,2025-02-23 19:51:04.935 +0000,0.13970665292594345
16201,1232,1340,2025-02-24 14:53:34.193 +0000,0.02865283364055356
16201,1232,1340,2025-02-24 14:53:34.193 +0000,0.02865283364055356
16206,1232,3184,2025-02-24 14:54:25.152 +0000,0.1999999999999999
16207,1232,1201,2025-02-24 14:54:42.942 +0000,0.1776597875234328
15936,2867,1923,2025-02-22 23:52:27.738 +0000,0.19999999999999996
16012,3507,1574,2025-02-23 16:05:03.492 +0000,0.2
16037,3493,2941,2025-02-23 19:15:30.227 +0000,0.20000000000000007
16066,3525,1319,2025-02-23 20:23:09.834 +0000,0.2
16189,3552,3311,2025-02-24 13:06:17.938 +0000,0.010309785932044027
16296,2621,3187,2025-02-24 23:20:56.383 +0000,0.2
16301,2621,2980,2025-02-24 23:23:20.736 +0000,0.17206232853319536
16390,1034,3110,2025-02-25 13:00:20.931 +0000,0.2
15845,411,2342,2025-02-22 15:27:20.861 +0000,0.19999999999999996
15887,2491,1027,2025-02-22 19:51:06.830 +0000,0.2
15887,2491,1027,2025-02-22 19:51:06.830 +0000,0.2
15961,3494,3286,2025-02-23 11:39:07.315 +0000,0.16666667
16040,3523,2878,2025-02-23 19:50:38.323 +0000,0.14238106305283646
16040,3523,2878,2025-02-23 19:50:38.323 +0000,0.14238106305283646
16080,3525,1490,2025-02-23 20:27:16.252 +0000,0.1999602558764514
16088,3525,1482,2025-02-23 20:28:39.862 +0000,0.2
16089,3528,3327,2025-02-23 20:46:12.534 +0000,0.16666667000000007
16105,3536,1027,2025-02-24 00:14:13.583 +0000,0.14353462401358563
16105,3536,1027,2025-02-24 00:14:13.583 +0000,0.14353462401358563
16082,3525,1027,2025-02-23 20:27:29.436 +0000,0.2
16198,1232,551,2025-02-24 14:52:56.023 +0000,0.16990434112681163
16299,2621,2218,2025-02-24 23:22:57.007 +0000,0.19999999999999996
16132,3506,1877,2025-02-24 10:40:37.675 +0000,0.2
16164,3552,135,2025-02-24 13:04:17.629 +0000,0.2000000000000001
16046,3523,867,2025-02-23 19:52:52.704 +0000,0.2
16046,3523,867,2025-02-23 19:52:52.704 +0000,0.2
16093,3530,1027,2025-02-23 21:40:09.629 +0000,0.2
16125,3542,1468,2025-02-24 06:27:06.719 +0000,0.1856398779516405
16042,3523,1020,2025-02-23 19:51:29.345 +0000,0.19776897569419036
16042,3523,1020,2025-02-23 19:51:29.345 +0000,0.19776897569419036
16104,3536,2730,2025-02-24 00:13:54.305 +0000,0.19999999999999993
16104,3536,2730,2025-02-24 00:13:54.305 +0000,0.19999999999999993
16087,3525,3390,2025-02-23 20:28:34.755 +0000,0.16666667
16283,3296,3391,2025-02-24 20:26:11.807 +0000,0.16666667
16283,3296,3391,2025-02-24 20:26:11.807 +0000,0.16666667
16394,1034,3185,2025-02-25 13:00:30.659 +0000,0.19256722408221594
16078,3525,1265,2025-02-23 20:27:07.639 +0000,0.2
16216,3558,970,2025-02-24 15:17:29.961 +0000,0.142307470552674
16319,1080,2400,2025-02-25 00:28:17.319 +0000,0.1628331659813793
16319,1080,2400,2025-02-25 00:28:17.319 +0000,0.1628331659813793
16336,3558,2359,2025-02-25 04:20:46.328 +0000,0.19999999999999996
16360,3558,1258,2025-02-25 04:30:37.553 +0000,0.2000000000000001
16393,1034,352,2025-02-25 13:00:29.712 +0000,0.19256722408221594
16406,2621,1180,2025-02-25 13:14:47.813 +0000,0.19006319369012487
16408,2621,1027,2025-02-25 13:15:17.744 +0000,0.1550845026729629
16408,2621,1027,2025-02-25 13:15:17.744 +0000,0.1550845026729629
16006,3505,3201,2025-02-23 15:02:54.859 +0000,0.20000000000000007
16013,3507,2769,2025-02-23 16:05:41.965 +0000,0.20000000000000007
16032,3493,3294,2025-02-23 19:13:29.534 +0000,0.16666667
16032,3493,3294,2025-02-23 19:13:29.534 +0000,0.16666667
16300,2621,2692,2025-02-24 23:23:09.106 +0000,0.19944708725661947
16300,2621,2692,2025-02-24 23:23:09.106 +0000,0.19944708725661947
16405,2621,512,2025-02-25 13:14:38.175 +0000,0.12689423020299934
16405,2621,512,2025-02-25 13:14:38.175 +0000,0.12689423020299934
16109,2360,2521,2025-02-24 00:51:41.437 +0000,0.19999999999999996
16109,2360,2521,2025-02-24 00:51:41.437 +0000,0.19999999999999996
16146,3552,512,2025-02-24 13:02:32.948 +0000,0.1227986517345685
16209,1232,1283,2025-02-24 14:55:09.771 +0000,0.1999999999999999
16209,1232,1283,2025-02-24 14:55:09.771 +0000,0.1999999999999999
16303,2621,2690,2025-02-24 23:23:42.450 +0000,0.09618292518747809
16303,2621,2690,2025-02-24 23:23:42.450 +0000,0.09618292518747809
16333,3558,2654,2025-02-25 04:19:11.991 +0000,0.19999999999999996
16090,3528,927,2025-02-23 20:48:56.758 +0000,0.04582512974621108
16302,2621,713,2025-02-24 23:23:34.204 +0000,0.19999999999999996
16038,3523,487,2025-02-23 19:50:00.480 +0000,0.19999999999999993
16045,3523,1205,2025-02-23 19:52:17.666 +0000,0.20000000000000007
16065,3525,1325,2025-02-23 20:22:35.136 +0000,0.2
16166,3552,1258,2025-02-24 13:04:30.525 +0000,0.2000000000000001
16043,3523,966,2025-02-23 19:51:35.485 +0000,0.19999999999999996
16306,2621,2694,2025-02-24 23:24:33.513 +0000,0.11858669077715073
16306,2621,2694,2025-02-24 23:24:33.513 +0000,0.11858669077715073
