"id","profile_id_1","profile_id_2","created_at","location_score"
15502,3283,1855,2025-02-21 08:12:28.538 +0000,0.2
15622,1506,791,2025-02-21 17:00:09.057 +0000,0.20000000000000007
15478,2067,1075,2025-02-21 06:08:21.306 +0000,0.2000000000000001
15613,1506,970,2025-02-21 16:59:11.689 +0000,0.14034499051767532
15472,2067,1906,2025-02-21 06:07:12.502 +0000,0.2
15586,3296,1234,2025-02-21 13:52:24.549 +0000,0.2
15628,1330,816,2025-02-21 17:25:55.924 +0000,0.1560122940909812
15704,3369,50,2025-02-21 23:49:37.623 +0000,0.1324433454693932
15583,3296,1530,2025-02-21 13:52:05.078 +0000,0.1999602558764514
15476,2067,1027,2025-02-21 06:07:59.583 +0000,0.19780376449801018
15645,1526,228,2025-02-21 17:48:35.178 +0000,0.18315617687389157
15475,2067,970,2025-02-21 06:07:24.749 +0000,0.18681917876521076
15539,213,3066,2025-02-21 11:55:50.001 +0000,0.19221064615499958
15654,3315,1590,2025-02-21 17:51:26.315 +0000,0.0005196999109185
15523,3315,1027,2025-02-21 09:32:16.398 +0000,0.1996372105629649
15489,2067,1590,2025-02-21 06:09:23.393 +0000,0.2
15531,3315,2211,2025-02-21 10:47:30.652 +0000,0.2
15693,3361,1027,2025-02-21 22:28:11.800 +0000,0.2
15633,3315,970,2025-02-21 17:41:54.522 +0000,0.20000000000000007
15848,3424,2564,2025-02-22 15:59:40.444 +0000,0.17330846503585087
15848,3424,2564,2025-02-22 15:59:40.444 +0000,0.17330846503585087
15677,3350,2551,2025-02-21 19:49:11.578 +0000,0.12840733805552962
15742,3387,1075,2025-02-22 04:34:58.822 +0000,0.2000000000000001
15650,1526,433,2025-02-21 17:50:29.210 +0000,0.19647312288043978
15885,2491,970,2025-02-22 19:51:00.343 +0000,0.14217653407033892
15885,2491,970,2025-02-22 19:51:00.343 +0000,0.14217653407033892
15765,3387,2175,2025-02-22 04:38:35.957 +0000,0.2000000000000001
15839,213,1448,2025-02-22 14:51:30.327 +0000,0.1813414338373254
15884,2491,1180,2025-02-22 19:50:57.602 +0000,0.2
15937,2867,1027,2025-02-22 23:52:36.939 +0000,0.16377347164214467
15849,3424,2723,2025-02-22 15:59:52.774 +0000,0.18766238508404734
15849,3424,2723,2025-02-22 15:59:52.774 +0000,0.18766238508404734
15951,3488,484,2025-02-23 09:09:32.063 +0000,0.0016551413638355664
15787,3283,3350,2025-02-22 09:23:59.106 +0000,0.002370556372762839
16059,3525,1876,2025-02-23 20:19:20.032 +0000,0.1999602558764514
16110,2360,2425,2025-02-24 00:51:44.381 +0000,0.19999999999999996
16178,3552,453,2025-02-24 13:05:08.740 +0000,0.2
16304,2621,2175,2025-02-24 23:23:50.259 +0000,0.2000000000000001
16143,2710,3421,2025-02-24 13:02:26.065 +0000,0.16666667
16145,3552,2359,2025-02-24 13:02:31.213 +0000,0.19999999999999996
16158,3552,2175,2025-02-24 13:03:16.019 +0000,0.2000000000000001
16384,3589,1032,2025-02-25 11:33:03.585 +0000,0.2
16041,3523,1785,2025-02-23 19:51:04.935 +0000,0.13970665292594345
16041,3523,1785,2025-02-23 19:51:04.935 +0000,0.13970665292594345
16201,1232,1340,2025-02-24 14:53:34.193 +0000,0.02865283364055356
16206,1232,3184,2025-02-24 14:54:25.152 +0000,0.1999999999999999
16207,1232,1201,2025-02-24 14:54:42.942 +0000,0.1776597875234328
16189,3552,3311,2025-02-24 13:06:17.938 +0000,0.010309785932044027
15845,411,2342,2025-02-22 15:27:20.861 +0000,0.19999999999999996
15887,2491,1027,2025-02-22 19:51:06.830 +0000,0.2
