id,profile_id_1,profile_id_2,created_at
134,35,11,2024-12-16 15:57:05.986404 +00:00
135,35,33,2024-12-16 15:57:05.986404 +00:00
136,35,21,2024-12-16 15:57:05.986404 +00:00
137,35,28,2024-12-16 15:57:05.986404 +00:00
138,35,34,2024-12-16 15:57:05.986404 +00:00
139,35,23,2024-12-16 15:57:05.986404 +00:00
140,1,31,2024-12-16 15:57:05.986404 +00:00
141,1,32,2024-12-16 15:57:05.986404 +00:00
142,36,35,2024-12-16 15:57:05.986404 +00:00
143,8,36,2024-12-16 15:57:05.986404 +00:00
144,36,31,2024-12-16 15:57:05.986404 +00:00
145,36,23,2024-12-16 15:57:05.986404 +00:00
146,36,15,2024-12-16 15:57:05.986404 +00:00
147,36,1,2024-12-16 15:57:05.986404 +00:00
148,23,32,2024-12-16 15:57:05.986404 +00:00
149,23,36,2024-12-16 15:57:05.986404 +00:00
150,36,10,2024-12-16 15:57:05.986404 +00:00
151,36,11,2024-12-16 15:57:05.986404 +00:00
152,35,36,2024-12-16 15:57:05.986404 +00:00
153,36,26,2024-12-16 15:57:05.986404 +00:00
154,36,21,2024-12-16 15:57:05.986404 +00:00
155,36,28,2024-12-16 15:57:05.986404 +00:00
156,15,35,2024-12-16 15:57:05.986404 +00:00
157,15,32,2024-12-16 15:57:05.986404 +00:00
158,15,33,2024-12-16 15:57:05.986404 +00:00
159,15,34,2024-12-16 15:57:05.986404 +00:00
160,15,31,2024-12-16 15:57:05.986404 +00:00
161,15,36,2024-12-16 15:57:05.986404 +00:00
162,24,1,2024-12-16 15:57:05.986404 +00:00
163,8,24,2024-12-16 15:57:05.986404 +00:00
164,1,29,2024-12-16 15:57:05.986404 +00:00
165,1,36,2024-12-16 15:57:05.986404 +00:00
166,1,26,2024-12-16 15:57:05.986404 +00:00
167,37,29,2024-12-16 15:57:05.986404 +00:00
168,8,37,2024-12-16 15:57:05.986404 +00:00
169,35,24,2024-12-16 15:57:05.986404 +00:00
170,23,24,2024-12-16 15:57:05.986404 +00:00
171,23,37,2024-12-16 15:57:05.986404 +00:00
172,43,1,2024-12-16 15:57:05.986404 +00:00
1243,259,28,2024-12-16 15:57:05.986404 +00:00
174,15,37,2024-12-16 15:57:05.986404 +00:00
175,15,24,2024-12-16 15:57:05.986404 +00:00
176,23,43,2024-12-16 15:57:05.986404 +00:00
177,23,28,2024-12-16 15:57:05.986404 +00:00
178,1,12,2024-12-16 15:57:05.986404 +00:00
179,1,35,2024-12-16 15:57:05.986404 +00:00
182,1,33,2024-12-16 15:57:05.986404 +00:00
183,1,21,2024-12-16 15:57:05.986404 +00:00
184,1,28,2024-12-16 15:57:05.986404 +00:00
185,1,27,2024-12-16 15:57:05.986404 +00:00
186,1,24,2024-12-16 15:57:05.986404 +00:00
200,48,21,2024-12-16 15:57:05.986404 +00:00
206,48,15,2024-12-16 15:57:05.986404 +00:00
210,48,12,2024-12-16 15:57:05.986404 +00:00
216,23,48,2024-12-16 15:57:05.986404 +00:00
221,50,37,2024-12-16 15:57:05.986404 +00:00
227,50,15,2024-12-16 15:57:05.986404 +00:00
239,53,1,2024-12-16 15:57:05.986404 +00:00
243,53,31,2024-12-16 15:57:05.986404 +00:00
1225,216,84,2024-12-16 15:57:05.986404 +00:00
1232,216,181,2024-12-16 15:57:05.986404 +00:00
1249,259,26,2024-12-16 15:57:05.986404 +00:00
1259,260,49,2024-12-16 15:57:05.986404 +00:00
1261,259,54,2024-12-16 15:57:05.986404 +00:00
1263,1,119,2024-12-16 15:57:05.986404 +00:00
1271,1,57,2024-12-16 15:57:05.986404 +00:00
1276,1,230,2024-12-16 15:57:05.986404 +00:00
1280,1,55,2024-12-16 15:57:05.986404 +00:00
1889,323,321,2024-12-16 15:57:05.986404 +00:00
1890,323,34,2024-12-16 15:57:05.986404 +00:00
1899,313,119,2024-12-16 15:57:05.986404 +00:00
1905,318,29,2024-12-16 15:57:05.986404 +00:00
1914,318,48,2024-12-16 15:57:05.986404 +00:00
1928,293,56,2024-12-16 15:57:05.986404 +00:00
1933,327,149,2024-12-16 15:57:05.986404 +00:00
1938,329,50,2024-12-16 15:57:05.986404 +00:00
1953,330,87,2024-12-16 15:57:05.986404 +00:00
