"id","profile_id_1","profile_id_2","channel_url","created_at"
2404,4404,3699,sendbird_group_channel_516036953_843ce879914ef11a990792ab0b222914981e3853,2025-03-24 15:33:08.892 +0000
2367,260,810,sendbird_group_channel_457078949_6498d7babce4d7c8752afa40f7a081766eaf135b,2025-03-21 12:04:33.399 +0000
2368,810,260,sendbird_group_channel_457078949_6498d7babce4d7c8752afa40f7a081766eaf135b,2025-03-21 12:04:33.399 +0000
2421,2769,1381,sendbird_group_channel_490012059_01d76d52b87a33729e1b1ea22b490ccea6855559,2025-03-25 14:21:50.961 +0000
2422,1381,2769,sendbird_group_channel_490012059_01d76d52b87a33729e1b1ea22b490ccea6855559,2025-03-25 14:21:50.961 +0000
2369,213,4228,sendbird_group_channel_527754384_1fecaa1a270edcf9f92423f2a48c715ddeebdae4,2025-03-21 13:02:24.351 +0000
2370,4228,213,sendbird_group_channel_527754384_1fecaa1a270edcf9f92423f2a48c715ddeebdae4,2025-03-21 13:02:24.351 +0000
2373,1381,370,sendbird_group_channel_463630346_92f0bc71e48729016caa9d8695656e9ddd19460f,2025-03-22 22:20:40.047 +0000
2374,370,1381,sendbird_group_channel_463630346_92f0bc71e48729016caa9d8695656e9ddd19460f,2025-03-22 22:20:40.047 +0000
2385,4357,3743,sendbird_group_channel_517126423_d675922dfe81e65f0d73c838c681999a83e9612c,2025-03-23 16:05:59.440 +0000
2386,3743,4357,sendbird_group_channel_517126423_d675922dfe81e65f0d73c838c681999a83e9612c,2025-03-23 16:05:59.440 +0000
2405,4413,4255,sendbird_group_channel_532794113_a25bae0c11013f6eb118a2f6b5a1c2eae7ed1fc1,2025-03-24 18:26:27.958 +0000
2406,4255,4413,sendbird_group_channel_532794113_a25bae0c11013f6eb118a2f6b5a1c2eae7ed1fc1,2025-03-24 18:26:27.958 +0000
2375,4246,4357,sendbird_group_channel_528178151_4e67d2ba17eb2e1fcfe011271ca17ce0ea739ec5,2025-03-23 02:22:36.446 +0000
2376,4357,4246,sendbird_group_channel_528178151_4e67d2ba17eb2e1fcfe011271ca17ce0ea739ec5,2025-03-23 02:22:36.446 +0000
2413,2769,3907,sendbird_group_channel_505129935_50e02376189dc9dc7b21cdde77b82449758bfba7,2025-03-25 14:07:26.051 +0000
2414,3907,2769,sendbird_group_channel_505129935_50e02376189dc9dc7b21cdde77b82449758bfba7,2025-03-25 14:07:26.051 +0000
2417,4430,3707,sendbird_group_channel_533054600_9d940826c13621b5dad120599b49669bcf37b0b3,2025-03-25 14:13:28.255 +0000
2418,3707,4430,sendbird_group_channel_533054600_9d940826c13621b5dad120599b49669bcf37b0b3,2025-03-25 14:13:28.255 +0000
2399,1526,3734,sendbird_group_channel_491917491_009637609d5d1e78ba6a505c28d207028ed4f322,2025-03-24 07:23:51.623 +0000
2400,3734,1526,sendbird_group_channel_491917491_009637609d5d1e78ba6a505c28d207028ed4f322,2025-03-24 07:23:51.623 +0000
2381,4255,1381,sendbird_group_channel_490012059_55d017a0b54cd53c0727dd4fc36ac02f31b2c240,2025-03-23 10:58:16.180 +0000
2382,1381,4255,sendbird_group_channel_490012059_55d017a0b54cd53c0727dd4fc36ac02f31b2c240,2025-03-23 10:58:16.180 +0000
2383,4376,388,sendbird_group_channel_464551116_235a866bbf3a9223c49207effa8dc82785ca2fe4,2025-03-23 15:07:08.954 +0000
2384,388,4376,sendbird_group_channel_464551116_235a866bbf3a9223c49207effa8dc82785ca2fe4,2025-03-23 15:07:08.954 +0000
2389,3925,3473,sendbird_group_channel_521543803_c91e04013c906f378784baa41f6e67ac68fec7ae,2025-03-23 22:45:20.312 +0000
2390,3473,3925,sendbird_group_channel_521543803_c91e04013c906f378784baa41f6e67ac68fec7ae,2025-03-23 22:45:20.312 +0000
2391,3925,4098,sendbird_group_channel_521543803_d562601851ba8fce543f0c2bfa3c4ac6359b442f,2025-03-23 22:45:37.991 +0000
2392,4098,3925,sendbird_group_channel_521543803_d562601851ba8fce543f0c2bfa3c4ac6359b442f,2025-03-23 22:45:37.991 +0000
2395,2020,4404,sendbird_group_channel_496842444_a7506a3867a692b61bf37ecdd485e5a659ff2a07,2025-03-24 07:16:00.986 +0000
2396,4404,2020,sendbird_group_channel_496842444_a7506a3867a692b61bf37ecdd485e5a659ff2a07,2025-03-24 07:16:00.986 +0000
2407,4397,4430,sendbird_group_channel_532395197_27be18f2c50c86294494f258f9efa711ec6d355a,2025-03-24 19:46:50.380 +0000
2408,4430,4397,sendbird_group_channel_532395197_27be18f2c50c86294494f258f9efa711ec6d355a,2025-03-24 19:46:50.380 +0000
2429,2769,4330,sendbird_group_channel_530382124_3f7271e323e897016ddf99f5fe5b9347224ddb21,2025-03-25 14:22:40.961 +0000
2430,4330,2769,sendbird_group_channel_530382124_3f7271e323e897016ddf99f5fe5b9347224ddb21,2025-03-25 14:22:40.961 +0000
2433,2769,2502,sendbird_group_channel_501661224_2a8c54aa8fea653f3b423244fec5f5c93ce5c09b,2025-03-25 14:39:31.846 +0000
2434,2502,2769,sendbird_group_channel_501661224_2a8c54aa8fea653f3b423244fec5f5c93ce5c09b,2025-03-25 14:39:31.846 +0000
2397,2020,4367,sendbird_group_channel_496842444_6bb74bca6eb9ef844656cbd0a51bf1f4ec2c20ea,2025-03-24 07:16:03.336 +0000
2398,4367,2020,sendbird_group_channel_496842444_6bb74bca6eb9ef844656cbd0a51bf1f4ec2c20ea,2025-03-24 07:16:03.336 +0000
2415,2769,3707,sendbird_group_channel_516279355_b490e330d8e8654b5dfcf59c66b521253d54e14a,2025-03-25 14:08:24.880 +0000
2416,3707,2769,sendbird_group_channel_516279355_b490e330d8e8654b5dfcf59c66b521253d54e14a,2025-03-25 14:08:24.880 +0000
2423,2769,4367,sendbird_group_channel_531573374_09a81a7fe005cc7732018050c057c8de532559d8,2025-03-25 14:22:01.242 +0000
2424,4367,2769,sendbird_group_channel_531573374_09a81a7fe005cc7732018050c057c8de532559d8,2025-03-25 14:22:01.242 +0000
2425,2769,4343,sendbird_group_channel_530650330_55a74d0bfd87c4fff900112971e08a09109002c5,2025-03-25 14:22:23.227 +0000
2426,4343,2769,sendbird_group_channel_530650330_55a74d0bfd87c4fff900112971e08a09109002c5,2025-03-25 14:22:23.227 +0000
2331,3584,4203,sendbird_group_channel_513510576_c6be01af51d698568a418ed5c9cf8c8a1c531872,2025-03-18 17:46:53.960 +0000
2332,4203,3584,sendbird_group_channel_513510576_c6be01af51d698568a418ed5c9cf8c8a1c531872,2025-03-18 17:46:53.960 +0000
2327,3584,2020,sendbird_group_channel_513510576_d0f9b69a0ba89b928fba3bf99cc5edbb76a4095b,2025-03-18 17:45:57.305 +0000
2328,2020,3584,sendbird_group_channel_513510576_d0f9b69a0ba89b928fba3bf99cc5edbb76a4095b,2025-03-18 17:45:57.305 +0000
2335,3584,4065,sendbird_group_channel_513510576_94f460383297c0dd5154aa318beaeba9bb0a1454,2025-03-18 17:47:19.700 +0000
2336,4065,3584,sendbird_group_channel_513510576_94f460383297c0dd5154aa318beaeba9bb0a1454,2025-03-18 17:47:19.700 +0000
2333,3584,4159,sendbird_group_channel_513510576_1790602da31e8077a6d5de3f94f205300eff5529,2025-03-18 17:47:09.760 +0000
2334,4159,3584,sendbird_group_channel_513510576_1790602da31e8077a6d5de3f94f205300eff5529,2025-03-18 17:47:09.760 +0000
2341,4203,2020,sendbird_group_channel_527250393_603c84d69a7971aaadba8aa17c1ae34b6335ed9d,2025-03-18 18:21:45.454 +0000
2342,2020,4203,sendbird_group_channel_527250393_603c84d69a7971aaadba8aa17c1ae34b6335ed9d,2025-03-18 18:21:45.454 +0000
2337,3584,436,sendbird_group_channel_513510576_3d9f67b5cad1327b815c32c0502a78a569217d7d,2025-03-18 17:47:27.506 +0000
2338,436,3584,sendbird_group_channel_513510576_3d9f67b5cad1327b815c32c0502a78a569217d7d,2025-03-18 17:47:27.506 +0000
2329,3584,927,sendbird_group_channel_513510576_a00d8375d4392516d2f17987250e042d8f04a811,2025-03-18 17:46:14.376 +0000
2330,927,3584,sendbird_group_channel_513510576_a00d8375d4392516d2f17987250e042d8f04a811,2025-03-18 17:46:14.376 +0000
